iter	Passed	Remaining
0	118	118178
1	119	59620
2	120	40179
3	122	30416
4	123	24505
5	124	20547
6	125	17735
7	126	15626
8	126	13947
9	127	12618
10	128	11533
11	129	10623
12	129	9858
13	130	9209
14	131	8637
15	132	8151
16	133	7703
17	134	7312
18	134	6959
19	135	6645
20	136	6359
21	137	6098
22	137	5860
23	138	5643
24	139	5441
25	140	5253
26	141	5082
27	141	4919
28	142	4768
29	143	4628
30	143	4497
31	144	4375
32	145	4258
33	146	4151
34	146	4045
35	147	3949
36	148	3862
37	149	3780
38	150	3701
39	150	3621
40	151	3546
41	152	3478
42	153	3410
43	154	3346
44	154	3283
45	155	3226
46	156	3169
47	157	3116
48	158	3071
49	159	3024
50	160	2979
51	160	2934
52	161	2892
53	163	2856
54	164	2817
55	164	2776
56	165	2738
57	166	2700
58	166	2662
59	167	2626
60	168	2591
61	168	2556
62	169	2524
63	170	2492
64	170	2459
65	171	2430
66	172	2401
67	172	2368
68	173	2342
69	174	2316
70	175	2292
71	176	2272
72	177	2249
73	177	2226
74	178	2204
75	179	2181
76	180	2159
77	181	2139
78	182	2122
79	182	2102
80	183	2081
81	184	2065
82	185	2046
83	185	2027
84	186	2006
85	187	1988
86	187	1968
87	188	1950
88	188	1932
89	189	1914
90	189	1897
91	190	1883
92	191	1870
93	192	1855
94	193	1844
95	194	1833
96	195	1822
97	196	1810
98	197	1796
99	198	1784
100	198	1770
101	199	1753
102	200	1741
103	200	1729
104	201	1717
105	202	1706
106	202	1693
107	203	1682
108	204	1671
109	205	1660
110	205	1649
111	206	1638
112	207	1628
113	208	1618
114	209	1610
115	209	1598
116	210	1589
117	211	1579
118	211	1568
119	212	1558
120	213	1549
121	214	1540
122	214	1528
123	215	1518
124	215	1509
125	216	1500
126	216	1491
127	217	1481
128	218	1472
129	218	1464
130	219	1456
131	220	1447
132	220	1440
133	221	1432
134	222	1424
135	223	1417
136	223	1410
137	224	1402
138	225	1395
139	225	1388
140	226	1381
141	227	1374
142	228	1367
143	228	1360
144	229	1354
145	230	1346
146	230	1339
147	231	1332
148	232	1325
149	232	1318
150	233	1312
151	233	1305
152	234	1298
153	235	1292
154	235	1285
155	236	1278
156	236	1272
157	237	1266
158	238	1260
159	239	1255
160	240	1251
161	240	1246
162	241	1240
163	242	1235
164	243	1229
165	243	1224
166	244	1219
167	245	1214
168	246	1209
169	246	1204
170	247	1199
171	248	1194
172	249	1190
173	249	1186
174	250	1181
175	251	1176
176	251	1171
177	252	1166
178	253	1161
179	253	1157
180	254	1150
181	255	1146
182	255	1141
183	256	1137
184	257	1132
185	257	1128
186	258	1123
187	259	1119
188	259	1114
189	260	1110
190	261	1105
191	261	1101
192	262	1096
193	263	1092
194	263	1088
195	264	1085
196	265	1081
197	265	1077
198	266	1073
199	267	1069
200	267	1064
201	268	1061
202	269	1058
203	270	1055
204	271	1051
205	271	1047
206	272	1043
207	273	1039
208	273	1036
209	274	1032
210	275	1029
211	276	1025
212	276	1022
213	277	1018
214	278	1015
215	278	1011
216	279	1008
217	280	1005
218	280	1001
219	281	998
220	282	994
221	282	991
222	283	988
223	284	985
224	285	982
225	285	978
226	286	975
227	287	972
228	288	969
229	288	966
230	289	964
231	290	961
232	291	958
233	291	955
234	292	952
235	293	949
236	293	946
